Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
Vityaz-Avto Co Ltd. Fish-Processing Work-Shop,Russia,,,,,,,,,
Triarc S.A.,Peru,,,,,,,,,
JSC Murmansk Region Fleet,Russia,,,,,,,,,
PJSC Murmansk Trawling Fleet,Russia,,,,,,,,,
JSC Akros,Russia,,,,,,,,,
JSC Akros,Russia,,,,,,,,,
LLC Roliz,Russia,,,,,,,,,
LLC Roliz,Russia,,,,,,,,,
JSC Akros-3,Russia,,,,,,,,,
LLC Vostokrybprom,Russia,,,,,,,,,
OOO RK Luntos,Russia,,,,,,,,,
Mercury Co Ltd,Russia,,,,,,,,,
Interrybflot,Russia,,,,,,,,,
JSC North-Kurilsk Base of Seiner Fleet (NBSF),Russia,,,,,,,,,
JSC Ostrov Sakhalin,Russia,,,,,,,,,
Bluff Proteins Limited,New Zealand,,,,,,,,,
"Alyeska Seafoods, Inc.",United States of America,,,,,,,,,
"Hai An Co., Ltd",Vietnam,,,,,,,,,
Food Joint Stock Company,Vietnam,,,,,,,,,
Promarina SA,Panama,,,,,,,,,
Unknown,Peru,,,,,,,,,
Pacific Deep Frozen S.A.,Peru,,,,,,,,,
Nam Hoa Y Factory - Van Don Company Limited,Vietnam,,,,,,,,,
Mien Thang Sa Dec Company Ltd.,Vietnam,,,,,,,,,
Minh Thang Sa Dec Company Limited,Vietnam,,,,,,,,,
Berg LipidTech AS,Norway,,,,,,,,,
Seafrost S.A.C.,Peru,,,,,,,,,
Hordafor AS,Norway,,,,,,,,,
Karmsund Protein AS,Norway,,,,,,,,,
MBP Bio Production AS,Norway,,,,,,,,,
Compania Pesquera del Pacifico Centro S.A.,Peru,,,,,,,,,
Alimentos Pesqueros SpA,Chile,,,,,,,,,
Industria Procesadora de Aceites y Grasas S.A.,Chile,,,,,,,,,
Touba Protein Marine,Senegal,,,,,,,,,
Foodcorp Chile S.A.,Chile,,,,,,,,,
Trihung Producing Trading Im-Export Company Limited,Vietnam,,,,,,,,,
Edayre,Mauritania,,,,,,,,,
Hong Dong Farine et Huile,Mauritania,,,,,,,,,
Sao Mai An Giang; Travel Investment and Seafood Development Corp. (Trisedco),Vietnam,,,,,,,,,
Epesca Pisco S.A.C.,Peru,,,,,,,,,
Sao Mai An Giang; Travel Investment and Seafood Development Corp. (Trisedco),Vietnam,,,,,,,,,
Sao Mai An Giang; Travel Investment and Seafood Development Corp. (Trisedco),Vietnam,,,,,,,,,
Moumina Fishing,Mauritania,,,,,,,,,
Sahara Peche,Mauritania,,,,,,,,,
"ThienPhat Manufacturing and Trading Co., Ltd",Vietnam,,,,,,,,,
"RONG CHANG SARLU, Republic of Congo(Brazzaville)",Republic of Congo,,,,,,,,,
Winterisation Mauritania SARL,Mauritania,,,,,,,,,
Comapeche,Mauritania,,,,,,,,,
"Suchato Fishmeal
Factory Part., Ltd.",Thailand,,,,,,,,,
Pattani Fishmeal (1988) Company Limited,Thailand,,,,,,,,,
Mauritania Sea Food Solube,Mauritania,,,,,,,,,
"Phatanakarn Pramong Pattany Co., Ltd.",Thailand,,,,,,,,,
"Kasemkit Pattani Fishmeal Co., Ltd.",Thailand,,,,,,,,,
Thien Quynh Khanh Hoa Sole Member Limited Liability Company,Vietnam,,,,,,,,,
Ocean Proteine,Mauritania,,,,,,,,,
"Southern Fishmeal Factory (1969) Co., Ltd.",Thailand,,,,,,,,,
"Yangon Fishery Development Co.,Ltd",Myanmar,,,,,,,,,
Jana Fish Industries Limited,Thailand,,,,,,,,,
"Vantage Co.,Ltd",Myanmar,,,,,,,,,
"Samila Fish Meal Co., Ltd.",Thailand,,,,,,,,,
"Srinakorn Fishmeal Factory Part., Ltd.",Thailand,,,,,,,,,
Aquarius AS,Norway,,,,,,,,,
"Songkhla Marine Products Co., Ltd.",Thailand,,,,,,,,,
BASF AS,United Kingdom,,,,,,,,,
Nordlaks Produkter AS avd Stokmarknes.,Norway,,,,,,,,,
"Patthana Charoen Powder Fish Factory Part., Ltd.",Thailand,,,,,,,,,
"Saengcharoen Wattana Fishery Co., Ltd.",Thailand,,,,,,,,,
BVP Marine Product Co. Ltd.,Thailand,,,,,,,,,
"Kanthaksin Fish Powder Industrial Co., Ltd.",Thailand,,,,,,,,,
"Paechae Songkhla Co., Ltd.",Thailand,,,,,,,,,
J D P COMPANY LIMITED,Thailand,,,,,,,,,
PACIFIC FISHMEAL INDUSTRIAL COMPANY LIMITED,Thailand,,,,,,,,,
