Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
HARINA DE CAMARON HARCAM S.A.S.,Ecuador,,,,https://www.emis.com/php/company-profile/EC/Harina_de_Camaron_Harcam_SAS_es_14672662.html,,,,,
HARINA DE PESCADO DE EXPORTACION HARDEPEX CIA. LTDA.,Ecuador,Manta,Manabí,"28XJ+R46, Vía Manta - Jaramijo, Manta 130204, Ecuador",,,,,,
INDUSTRIA HARINERA DEL PACIFICO S.A. INHARIPAC S.A.,Ecuador,Jaramijó,Manabí,"Jaramijó, Ecuador",https://www.emis.com/php/company-profile/EC/Industria_Harinera_del_Pacifico_SA_Inharipac_en_3964106.html,,,,,
Atlantic Fish S.R.L.,Peru,Jibito,Piura,"36PX+4J5, Jibito 20770, Peru",,,,,,
C & H Fish S.A.C.,Peru,Callao,Callao,"Prolongacion Centenario 657, Callao 07046, Peru",,,,,,
Cantarana S.A.C,Peru,Chimbote,Áncash,"A, Chimbote 02804, Peru",,,,,,
The Waterbase,India,Ananthapuram,Andhra Pradesh,"Ananthapuram, Andhra Pradesh 524344, India",https://www.waterbaseindia.com/online_pdf/WB_board_meeting_Outcome_May2022.pdf,,,,,
Compania Pesquera del Pacifico Centro S.A.,Peru,Chimbote,Áncash,"B1, Chimbote 02804, Peru",https://repositorio.uns.edu.pe/bitstream/handle/20.500.14278/3985/52471.pdf?sequence=1&isAllowed=y,,,,,
Compania Pesquera del Pacifico Centro S.A.,Peru,Chimbote,Áncash,"B1, Chimbote 02804, Peru",https://repositorio.uns.edu.pe/bitstream/handle/20.500.14278/3985/52471.pdf?sequence=1&isAllowed=y,,,,,
Al Faizal Dry Fish,India,Somnath,Gujarat,"GIDC Plot No 203/1 Behind GIDC Industries Near New faizan foods, Veraval, Somnath, Gujarat 362268, India",,,,,,
Compania Pesquera del Pacifico Centro S.A.,Peru,Chimbote,Áncash,"B1, Chimbote 02804, Peru",https://repositorio.uns.edu.pe/bitstream/handle/20.500.14278/3985/52471.pdf?sequence=1&isAllowed=y,,,,,
Conservera San Lucas S.A.C.,Peru,Chimbote,Áncash,"VCHX+WHF, Chimbote 02711, Peru",,,,,,
Corporacion Pesquera Coishco S.A.,Peru,Coishco,Áncash,"1, Coishco 02413, Peru",https://www.mef.gob.pe/contenidos/inv_privada/obras_impuestos/base_adjudicaciones_OXI_31082024.xlsx,,,,,
Ambitious Fishmeal Product,India,Ratnagiri,Maharashtra,"2922+RV6, Ratnagiri, Maharashtra 415639, India",,,,,,
Anfal Marine Products,India,,Karnataka,"P6XH+4RC, Port Rd, Karnataka 581324, India",,,,,,
Arbee Biomarine Extracts Private Limited,India,Nanjangud,Karnataka,"Plot No : 13/P2, Thandya Industrial area, Thandavapura, Nanjangud, Adakanahalli, Karnataka 570301, India",https://kspcb.karnataka.gov.in/sites/default/files/inline-files/Mysore-2_1.pdf,,,,,
Bawa Fishmill & Oil Co.,India,Mangaluru,Karnataka,"4th D.No. 19, Paradigm Plaza 10, 512, 30, AB Shetty Cir, Baikampady, Mangaluru, Karnataka 575001, India",https://www.indiamart.com/bawafishmeal/profile.html,,,,,
Dexim Srl,Peru,Paita,Piura,"Mz. A Lt. 7 y 8, Zona Industrial II, Paita 20701, Peru",https://www.hotfrog.com.pe/search/paita,,,,,
Industria Atunera S.A.C.,Peru,Paita,Piura,"WVF6+39H, Paita 20701, Peru",,,,,,
Econort Group S.A.C.,Peru,,Piura,"1NK, 20690, 20690, Peru",,,,,,
Blueline foods India Pvt. Ltd Unit - I,India,Ullal,Karnataka,"Mogaveera Higher Primary School, Beach Rd, Ullal, Karnataka 575020, India",https://ksei.karnataka.gov.in/uploads/media_to_upload1718781104.xlsx,,,,,
Inversiones Oslo S.A.C.,Peru,Chimbote,Áncash,"VCVQ+XHV, Pescadores, Chimbote 02804, Peru",,,,,,
